Repository,Merged,Closed,Open,AvgDuration
actions/heroku,0,0,1,0s
actions/github,0,0,1,0s
actions/labeler,0,0,2,0s
actions/toolkit,0,1,2,0s
actions/runner,0,2,2,0s
actions/setup-node,0,2,3,0s
actions/runner-images,0,3,3,0s
actions/setup-go,0,4,3,0s
actions/setup-dotnet,0,5,3,0s
actions/setup-python,0,6,3,0s
actions/upload-artifact,0,7,3,0s
actions/download-artifact,0,8,3,0s
actions/typescript-action,0,9,3,0s
actions/container-action,0,10,3,0s
actions/setup-ruby,0,11,3,0s
actions/setup-java,0,12,3,0s
actions/checkout,0,13,3,0s
actions/starter-workflows,0,14,3,0s
actions/container-toolkit-action,0,15,3,0s
actions/first-interaction,0,16,3,0s
actions/hello-world-javascript-action,0,17,3,0s
actions/stale,0,18,3,0s
actions/hello-world-docker-action,0,19,3,0s
actions/example-services,0,20,3,0s
actions/setup-elixir,0,21,3,0s
actions/github-script,0,22,3,0s
actions/javascript-action,0,22,4,0s
actions/create-release,0,23,4,0s
actions/upload-release-asset,0,24,4,0s
actions/setup-haskell,0,25,4,0s
actions/.github,0,26,4,0s
actions/cache,0,27,4,0s
actions/humans.txt,0,28,4,0s
actions/http-client,0,29,4,0s
actions/virtual-environments-packages,0,30,4,0s
actions/actions-runner-controller,0,31,4,0s
actions/delete-package-versions,0,32,4,0s
actions/python-versions,0,33,4,0s
actions/versions-package-tools,0,34,4,0s
actions/node-versions,0,35,4,0s
actions/boost-versions,0,36,4,0s
actions/go-versions,0,37,4,0s
actions/actions-sync,0,38,4,0s
actions/publish-action,0,39,4,0s
actions/alpine_nodejs,0,40,4,0s
actions/deploy-pages,0,41,4,0s
actions/jekyll-build-pages,0,41,5,0s
actions/add-to-project,0,42,5,0s
actions/dependency-review-action,0,43,5,0s
actions/upload-pages-artifact,0,44,5,0s
actions/runner-container-hooks,0,45,5,0s
actions/gh-actions-cache,0,46,5,0s
actions/go-dependency-submission,0,47,5,0s
actions/configure-pages,0,48,5,0s
actions/importer-labs,0,49,5,0s
actions/importer-issue-ops,0,50,5,0s
actions/reusable-workflows,0,51,5,0s
actions/anno-test,0,52,5,0s
actions/languageservices,0,53,5,0s
actions/partner-runner-images,0,54,5,0s
actions/create-github-app-token,0,55,5,0s
actions/action-versions,0,56,5,0s
actions/container-prebuilt-action,0,57,5,0s
